id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,50_50,match_id,possession_team_id,team_id,player_id,counterpress,out
b2589fee-d2f3-4d6c-844d-bb9de9f01080,1934,2,00:03:05.373,48,5,50/50,75,Argentina,From Goal Kick,Colombia,Carlos Eccehomo Cuesta Figueroa,Left Center Back,"[15.8, 62.1]",0.0,True,"['83d4b835-f73b-49dd-bf1c-c7e073daa8ac', 'a6c6fb13-8b3f-483c-b323-31c1579717b0']","{'outcome': {'id': 1, 'name': 'Lost'}}",3943077,779,769,28567,,
a6c6fb13-8b3f-483c-b323-31c1579717b0,1935,2,00:03:05.373,48,5,50/50,75,Argentina,From Goal Kick,Argentina,Alexis Mac Allister,Left Defensive Midfield,"[104.3, 18.0]",1.170683,True,['b2589fee-d2f3-4d6c-844d-bb9de9f01080'],"{'outcome': {'id': 4, 'name': 'Won'}}",3943077,779,779,27886,,
e2f74a73-7728-4e0f-a9ea-714df29f8ae0,2057,2,00:07:23.220,52,23,50/50,84,Argentina,From Keeper,Argentina,Enzo Fernandez,Right Defensive Midfield,"[66.5, 32.7]",0.122115,True,['3aa78370-498b-4358-b5f2-54814de364a4'],"{'outcome': {'id': 2, 'name': 'Success To Opposition'}}",3943077,779,779,38718,,
3aa78370-498b-4358-b5f2-54814de364a4,2058,2,00:07:23.220,52,23,50/50,84,Argentina,From Keeper,Colombia,Luis Fernando Díaz Marulanda,Left Center Forward,"[53.0, 50.9]",0.0,True,['e2f74a73-7728-4e0f-a9ea-714df29f8ae0'],"{'outcome': {'id': 1, 'name': 'Lost'}}",3943077,779,769,27158,,
59c34555-dc07-486a-95e8-ea13299438b0,2328,2,00:17:20.707,62,20,50/50,96,Argentina,From Goal Kick,Colombia,Jefferson Andrés Lerma Solís,Center Defensive Midfield,"[77.4, 7.6]",0.0,True,"['cd3651e1-1140-42a6-be70-7f93c986a73f', 'd1b9035c-c135-4510-a0b9-ca25458eca19']","{'outcome': {'id': 1, 'name': 'Lost'}}",3943077,779,769,5678,,
cd3651e1-1140-42a6-be70-7f93c986a73f,2329,2,00:17:20.707,62,20,50/50,96,Argentina,From Goal Kick,Argentina,Rodrigo Javier De Paul,Right Midfield,"[42.7, 72.5]",0.0,True,['59c34555-dc07-486a-95e8-ea13299438b0'],"{'outcome': {'id': 4, 'name': 'Won'}}",3943077,779,779,7797,,
990d2b54-f5e3-4d3b-9484-8b73848a5118,672,1,00:19:53.179,19,53,50/50,41,Canada,From Throw In,Uruguay,Rodrigo Bentancur Colmán,Right Center Midfield,"[50.7, 71.3]",0.0,True,['816578b2-b8b2-4b95-9bdc-135df06af2ba'],"{'outcome': {'id': 1, 'name': 'Lost'}}",3943076,1833,783,5260,,
816578b2-b8b2-4b95-9bdc-135df06af2ba,673,1,00:19:53.179,19,53,50/50,41,Canada,From Throw In,Canada,Ismael Koné,Right Defensive Midfield,"[69.4, 8.8]",0.0,True,['990d2b54-f5e3-4d3b-9484-8b73848a5118'],"{'outcome': {'id': 3, 'name': 'Success To Team'}}",3943076,1833,1833,133229,,
cbe2be99-7afc-4b5f-9147-158100aeb4dd,869,1,00:28:38.303,28,38,50/50,50,Uruguay,From Throw In,Uruguay,Matías Nicolás Viña Susperreguy,Left Back,"[52.9, 7.2]",0.908934,True,"['5fe06715-426e-4656-af82-533248e5bc29', 'a2a61403-de40-4856-bbc7-3d393c22934c']","{'outcome': {'id': 1, 'name': 'Lost'}}",3943076,783,783,34476,,
a2a61403-de40-4856-bbc7-3d393c22934c,870,1,00:28:38.303,28,38,50/50,51,Canada,Regular Play,Canada,Alistair Johnston,Right Back,"[67.2, 72.9]",0.0,True,['cbe2be99-7afc-4b5f-9147-158100aeb4dd'],"{'outcome': {'id': 4, 'name': 'Won'}}",3943076,1833,1833,44703,True,
